country_name,highest_incidence_cancer,highest_mortality_cancer
Argentina,Breast,Lung
Armenia,Breast,Lung
Australia,Prostate,Lung
Austria,Breast,Lung
Bahrain,Breast,Breast
Belarus,Lung,Lung
Belgium,Breast,Lung
Belize,Breast,Uterus
Brazil,Breast,Lung
Canada,Breast,Lung
Chile,Prostate,Stomach
China,Lung,Stomach
Colombia,Breast,Stomach
Costa Rica,Breast,Stomach
Croatia,Lung,Lung
Cuba,Breast,Lung
Cyprus,Breast,Lung
Denmark,Breast,Lung
Ecuador,Thyroid,Stomach
Estonia,Prostate,Lung
Finland,Breast,Lung
France (metropolitan),Breast,Lung
Georgia,Prostate,Lung
Germany,Breast,Lung
Greece,Breast,Lung
Guatemala,Thyroid,Stomach
Guyana,Breast,Uterus
Hungary,Lung,Lung
Iceland,Breast,Lung
India,Breast,Lung
Ireland,Prostate,Lung
Israel,Breast,Lung
Italy,Breast,Lung
Japan,Stomach,Lung
Kuwait,Breast,Breast
Kyrgyzstan,Breast,Stomach
Latvia,Lung,Lung
Lithuania,Prostate,Lung
Luxembourg,Breast,Lung
Malta,Breast,Lung
Mauritius,Prostate,Breast
Mexico,Breast,Breast
New Zealand,Breast,Lung
Norway,Prostate,Lung
Panama,Breast,Stomach
Paraguay,Breast,Uterus
Philippines,Breast,Lung
Poland,Lung,Lung
Portugal,Prostate,Lung
Qatar,Breast,Breast
Romania,Lung,Lung
Singapore,Breast,Lung
Slovakia,Lung,Lung
Slovenia,Lung,Lung
South Africa,Prostate,Lung
South Korea,Thyroid,Lung
Spain,Breast,Lung
Sweden,Prostate,Lung
Switzerland,Breast,Lung
Thailand,Liver,Lung
The Netherlands,Breast,Lung
TÃ¼rkiye,Lung,Lung
USA,Breast,Lung
Uganda,Kaposi sarcoma,Lung
United Kingdom,Breast,Lung
Uruguay,Breast,Lung
Uzbekistan,Lung,Stomach
