country_name,teacher_dominant_cancer,student_dominant_cancer
Argentina,Head and neck,Head and neck
Australia,Head and neck,Head and neck
Austria,Head and neck,Head and neck
Bahrain,Head and neck,Head and neck
Belarus,Head and neck,Head and neck
Canada,Head and neck,Head and neck
Chile,Head and neck,Head and neck
China,Head and neck,Head and neck
Colombia,Head and neck,Head and neck
Costa Rica,Head and neck,Head and neck
Croatia,Head and neck,Head and neck
Cyprus,Head and neck,Head and neck
Denmark,Head and neck,Head and neck
Ecuador,Head and neck,Head and neck
Estonia,Head and neck,Head and neck
Finland,Head and neck,Head and neck
France (metropolitan),Head and neck,Head and neck
Germany,Head and neck,Head and neck
Iceland,Head and neck,Head and neck
India,Head and neck,Head and neck
Ireland,Head and neck,Head and neck
Israel,Head and neck,Head and neck
Italy,Head and neck,Head and neck
Japan,Head and neck,Head and neck
Kuwait,Head and neck,Head and neck
Latvia,Head and neck,Head and neck
Lithuania,Head and neck,Head and neck
Malta,Head and neck,Head and neck
New Zealand,Head and neck,Head and neck
Norway,Head and neck,Head and neck
Philippines,Head and neck,Head and neck
Poland,Head and neck,Head and neck
Qatar,Head and neck,Head and neck
Slovenia,Head and neck,Head and neck
South Korea,Head and neck,Head and neck
Spain,Head and neck,Head and neck
Sweden,Head and neck,Head and neck
Switzerland,Head and neck,Head and neck
Thailand,Head and neck,Head and neck
The Netherlands,Head and neck,Head and neck
TÃ¼rkiye,Head and neck,Head and neck
USA,Head and neck,Head and neck
Uganda,Head and neck,Head and neck
