country_name,historical_cagr,forecast_cagr,risk_score,historical_cagr_norm,forecast_cagr_norm,risk_score_norm,pandemic_risk_index,year_of_pandemic_risk,risk_flag
Argentina,0.008223839242178732,0.004164638183397518,18.922117548645637,0.2502205675177302,0.4171488624890325,0.2995329722006419,0.33178560691112463,,Moderate
Australia,0.010731956219932615,0.010028184453625633,15.327996611589068,0.2758375919996848,0.6098022002137065,0.13502133746139788,0.3671785589238074,2039.0,High
Austria,0.009255462576230444,0.011032520409092195,20.5088411808473,0.2607572053376395,0.6428007756662382,0.3721611622878297,0.446995820554136,2018.0,High
Canada,0.007377745082650877,0.009896625856806063,15.279482375085646,0.2415788594192211,0.605479696115401,0.13280072315957625,0.3545057532197996,2038.0,High
Chile,-0.006349413956149741,0.007319929160950256,24.42655023959194,0.10137448606517008,0.5208194587977124,0.5514842103916732,0.40418539245613794,,Moderate
China,0.04955184714725269,0.021904141966793134,21.032187151312794,0.6723303015074102,1.0,0.39611597700978063,0.7205338835551572,,High
Colombia,0.022529642759598678,0.010030270191839996,13.036280240212667,0.3963350120154381,0.609870729463771,0.030123919367676666,0.3718859712004428,,Moderate
Croatia,-0.0012818791611021174,-0.006640310863801457,23.215869976677183,0.1531325037570507,0.06214023768168769,0.4960684376097598,0.21961637748271823,2018.0,High
Cyprus,0.036981258142082085,0.020986298825418803,21.764853810112307,0.543938727607844,0.9698432422045873,0.4296519074553372,0.6800144874007893,2044.0,High
Denmark,0.0017349789463663168,-0.008531594779215723,15.12052265457847,0.18394563116820198,0.0,0.12552475111069328,0.09284111468366857,2023.0,High
Ecuador,0.04255132060935929,0.016736992250336646,15.991692614203181,0.600829386159998,0.8302275460069461,0.16540031364837282,0.5619599283452897,,Moderate
Finland,0.005164416670162986,0.008669255119102104,16.545313717344037,0.21897270163941768,0.5651530646969942,0.19074089464129673,0.34897530476301203,2047.0,High
France (metropolitan),0.026627146198941354,0.01581301812278113,18.52495384768963,0.43818547068684166,0.7998693478379244,0.28135382607628523,0.5358095281641079,,Moderate
Iceland,0.0010486782556595742,0.004289491400662149,12.542968169375268,0.17693599734659232,0.42125105388024314,0.0075438290948866005,0.22384436948454092,2052.0,High
India,0.035444693548727146,0.01842259682421421,27.63097365316926,0.5282447973983653,0.885609960040298,0.6981584440628524,0.7221649564544845,,High
Ireland,0.02063884180168074,0.015133726237876122,18.736945442027913,0.37702303619489086,0.7775504570361735,0.29105719564740795,0.5114442523671591,2023.0,High
Israel,0.016511770661615133,0.01354153251066692,18.37956814058589,0.33487058342990533,0.7252371603186891,0.2746991695518598,0.47296579002200523,2056.0,High
Italy,0.013847060001616507,0.008793813525510563,17.664992615869433,0.3076541661654915,0.5692455697494567,0.24199131420294373,0.39259187201031326,,Moderate
Japan,0.022016816849881993,0.014756553977171016,12.378156518585438,0.3910971885802817,0.7651580426894249,0.0,0.4233923736498545,,Moderate
Kuwait,-0.0019928244273361706,0.007185249723541176,30.09512419707862,0.14587115891070415,0.5163944160089341,0.8109485925641201,0.4936036918460209,,Moderate
Malta,0.010682934626710106,0.012870318630908484,20.960411960831145,0.2753369026917841,0.7031836813653185,0.3928306524125714,0.48172373907743404,2035.0,High
New Zealand,0.009998302705743756,0.00945264201985263,16.617958009799874,0.26834431309724743,0.5908921130823847,0.19406600014433328,0.37507993920542804,2040.0,High
Norway,0.007597140028478,0.007580179128238607,14.490125296261319,0.2438196822150955,0.5293702610818883,0.09666993465674623,0.3138949894943079,2032.0,High
Qatar,0.0816334003527659,0.019603707796830294,34.225370806823236,1.0,0.9244166753983867,0.9999999999999999,0.9697666701593547,,High
Slovenia,0.007926360981898917,0.006760210920749632,17.92910445830944,0.24718222921691385,0.502429293155541,0.2540803539750395,0.3513504922198024,2018.0,High
South Korea,0.027567637339200646,0.015791541067113446,16.344188419846283,0.4477913163386898,0.7991636952740677,0.18153490183854215,0.5084633435627967,2028.0,High
Spain,0.013495327583200378,0.01121600627650654,19.206085244133433,0.3040616949795055,0.6488294080251511,0.3125308625376575,0.44450953046520936,,Moderate
Switzerland,0.008988491219736883,0.008868736695515134,15.910595107335382,0.2580304538200924,0.5717072538752532,0.16168828401393742,0.35459852290031024,,Moderate
Thailand,0.010583428519245208,0.010072842026077833,18.7485188024848,0.2743205823153258,0.6112694744520426,0.29158693643285516,0.41428004540527136,,Moderate
The Netherlands,0.016166644199715474,0.012222547272650486,17.05690562074908,0.3313455831598735,0.6819004325429308,0.21415769719815536,0.43641115712458095,2018.0,High
TÃ¼rkiye,0.025305523732483515,0.014456906557678728,20.895070458023923,0.4246868837471403,0.7553127932711868,0.3898398133085489,0.5464831264251815,,Moderate
Uganda,-0.005690024465681787,0.015316007893574124,15.979476959201902,0.10810925835461418,0.7835395236790865,0.16484117348340188,0.3953009390230394,,Moderate
