country_name,highest_mortality_cancer,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use,target
Argentina,Lung,14.936029854545707,7.075,9522.910673575963,76.63636363636364,25.739473684210527,28.508333333333336,1
Armenia,Lung,35.46576432349433,3.978571428571428,3888.790749432764,66.8,22.94375,27.0,1
Australia,Lung,7.373216385871699,10.043589743589743,46302.270648592195,84.83333333333333,25.734146341463415,18.47692307692308,1
Austria,Lung,15.919421306348692,12.061538461538461,43245.017222310176,80.08333333333333,15.095121951219513,37.76923076923077,1
Bahrain,Breast,68.82405043065796,2.0833333333333335,20649.833476240947,67.8,28.983333333333334,19.3,0
Belarus,Lung,21.050816265644286,12.261111111111111,4682.424472271659,67.2,23.022222222222222,38.06,1
Belgium,Lung,15.647223905630756,9.938095238095237,40936.71966478654,83.85714285714286,19.236363636363635,28.771428571428572,1
Belize,Uterus,25.21803119679056,6.164705882352941,5484.089014156689,59.5,31.076470588235296,11.76,0
Brazil,Lung,14.251519259596838,6.871428571428571,7981.706699802551,77.42857142857143,18.513636363636365,17.257142857142856,1
Canada,Lung,8.280248327212854,8.069230769230769,41523.86424983708,84.5,24.714634146341464,19.638461538461534,1
Chile,Stomach,24.56620274636428,6.994871794871795,10857.56055850587,76.5,28.195,38.3,0
China,Lung,50.36624860525117,4.3999999999999995,4615.171904226013,69.5,4.0625,25.299999999999997,1
Colombia,Stomach,19.56721342300911,4.333333333333333,5467.87206886584,71.81818181818181,16.805405405405406,11.590909090909092,0
Costa Rica,Stomach,18.693062205792707,3.7421052631578946,8092.586174889909,74.54545454545455,23.232499999999998,12.846153846153848,0
Croatia,Lung,21.76254118917642,11.276923076923078,12079.809916634153,76.5,24.7425,35.59166666666667,1
Cuba,Lung,20.04148709036851,4.427827648114901,5875.159044197908,78.1731843575419,16.73167808219178,26.281005586592183,1
Cyprus,Lung,17.651407007700367,8.676470588235295,27532.094292534723,73.18181818181819,21.950000000000003,38.425,1
Denmark,Lung,12.400232440260062,10.247619047619049,54413.22998512691,78.28571428571429,13.421739130434784,24.41249999999999,1
Ecuador,Stomach,29.679538064344488,3.535339063992359,4365.992139338655,68.4192546583851,18.207629427792913,12.236676217765044,0
Estonia,Lung,8.937427536861524,14.802564102564103,15300.813808806446,71.33333333333333,22.98292682926829,37.53846153846154,1
Finland,Lung,6.648050935628742,9.238095238095239,43666.16935512903,83.14285714285714,21.482608695652175,28.8125,1
France (metropolitan),Lung,13.355869919204762,12.574358974358976,36993.64813858908,82.58333333333333,13.014634146341464,34.52307692307692,1
Georgia,Lung,18.449844188362675,6.882352941176471,4089.659226425554,68.0,30.547368421052628,32.2,1
Germany,Lung,14.843624981521499,11.419444444444446,41029.642897246034,85.5,23.28333333333333,29.12,1
Greece,Lung,19.760264369822753,7.819047619047619,21008.720086234953,75.71428571428571,27.51818181818182,42.957142857142856,1
Guatemala,Stomach,28.40304338045271,1.9702898550724637,3202.3372725585136,56.02247191011236,17.861056105610558,12.707317073170731,0
Guyana,Uterus,24.99448125659946,5.505,3850.7248010715666,66.33333333333333,19.455000000000002,22.6,0
Hungary,Lung,19.37662544793533,11.80952380952381,13260.960282140823,75.71428571428571,27.93913043478261,34.387499999999996,1
Iceland,Lung,6.420941000482437,7.085714285714285,53786.49993366071,85.42857142857143,19.165217391304346,17.5,1
India,Lung,64.76222794601038,2.28,1216.0371446505278,50.0,3.606666666666667,39.875,1
Ireland,Lung,10.427737468604805,12.21025641025641,56085.36782241896,78.58333333333333,25.041463414634148,27.03846153846154,1
Israel,Lung,23.322418681262402,2.4974358974358974,31105.76834152542,79.66666666666667,21.585365853658537,25.623076923076926,1
Italy,Lung,20.2223351854275,7.6,33384.81717187311,80.45454545454545,18.73513513513514,24.29090909090909,1
Japan,Lung,12.474099928198827,6.754054054054054,39331.435640922515,78.9090909090909,3.4789473684210526,26.583333333333332,1
Kuwait,Breast,61.4065099683395,0.0,35378.045275800505,76.08333333333333,39.00487804878049,20.26923076923077,0
Kyrgyzstan,Stomach,26.65564229383593,5.663157894736842,887.1002401598054,65.0,16.473684210526315,28.9,0
Latvia,Lung,16.88399413783079,10.107692307692307,11727.988263592251,65.91666666666667,24.434146341463418,39.57692307692308,1
Lithuania,Lung,13.5185779044866,12.607692307692307,12680.905464353978,64.66666666666667,26.187804878048784,37.06923076923077,1
Luxembourg,Lung,11.967345333753768,11.976190476190476,100665.17749048497,80.57142857142857,19.48695652173913,25.825,1
Malta,Lung,15.490842753767474,7.235897435897436,21358.22704151273,80.83333333333333,31.895,29.091666666666665,1
Mauritius,Breast,9.780972346799796,7.038095238095238,8132.076197373763,61.42857142857144,16.330434782608695,22.7,0
Mexico,Breast,21.607259433444398,4.5476190476190474,9544.293856632456,68.57142857142857,28.02608695652174,18.0625,0
New Zealand,Lung,6.7437443412090525,9.132432432432434,31400.705535226884,81.6,27.85675675675676,22.880000000000003,1
Norway,Lung,8.077034580025495,6.2419900497512435,76461.45354367871,82.25172413793103,16.459981078524123,27.79416909620991,1
Panama,Stomach,15.740284525971187,5.642857142857143,10038.795640015544,72.85714285714286,25.82608695652174,8.424999999999999,0
Paraguay,Uterus,11.949645555135243,5.495238095238095,4292.549896397972,66.57142857142857,22.490909090909092,18.514285714285712,0
Philippines,Lung,25.310136955135125,4.6947368421052635,2019.604684634693,48.90909090909091,5.068421052631579,30.08,1
Poland,Lung,25.15593022980772,9.841025641025642,11225.72869575557,76.0,23.62439024390244,30.930769230769233,1
Portugal,Lung,11.104189722896232,11.038095238095238,20388.437625396586,84.0,21.786956521739132,25.65,1
Qatar,Breast,89.52648322729297,1.06,71924.48092844621,66.5,33.74,12.575,0
Romania,Lung,19.43336452649525,10.6,7526.115176570892,75.0,22.065,34.48,1
Singapore,Lung,16.434281144087723,1.785714285714286,48194.945118350865,81.14285714285714,8.347826086956522,16.575000000000003,1
Slovakia,Lung,20.592565498009876,10.385714285714286,15860.240311525613,77.71428571428571,22.526086956521738,32.1,1
Slovenia,Lung,19.412765111160006,10.794871794871796,20469.00509777885,78.27272727272727,17.869230769230768,23.418181818181814,1
South Africa,Lung,23.86127701788635,7.261904761904762,5971.318576759623,61.5,25.33809523809524,22.21666666666667,1
South Korea,Lung,25.02197122685546,8.938461538461539,23212.75834086347,82.5,3.8951219512195117,27.23846153846154,1
Spain,Lung,12.952600457071457,10.25,27008.86524046111,78.9090909090909,21.07,31.70769230769231,1
Sweden,Lung,7.538011125178943,7.014285714285713,49498.73776334398,81.14285714285714,15.395652173913044,31.825000000000003,1
Switzerland,Lung,13.122690337996968,10.084615384615384,70682.75892125297,82.0,13.095121951219513,26.923076923076923,1
Thailand,Lung,35.45629743216142,7.133333333333334,4186.928337861071,65.4,8.844444444444443,23.56,1
The Netherlands,Lung,15.59791520357956,9.074358974358976,47000.408062833,81.16666666666667,15.192682926829267,27.646153846153844,1
TÃ¼rkiye,Lung,22.964726276540134,1.4055555555555557,8741.080370565276,68.0,26.75,32.46,1
USA,Lung,9.999203524324933,8.664102564102564,50389.58036154666,83.08333333333333,35.73170731707317,27.884615384615383,1
Uganda,Lung,32.96568561458539,10.416666666666666,565.4876044807276,35.0,2.9555555555555557,17.580000000000002,1
United Kingdom,Lung,12.628827644824565,10.32857142857143,40854.02262483813,82.85714285714286,25.19090909090909,24.142857142857142,1
Uruguay,Lung,10.91267034158876,5.780952380952381,12570.412549147068,77.28571428571429,25.878260869565217,26.4375,1
Uzbekistan,Stomach,35.469228164235076,2.646666666666667,1812.2343135641843,69.2,18.44,22.45,0
